Palabra;Nombre;Pais;Sexo
Niño;Mith;Esp;H
Niño;Momislo;Esp;H
Niño;Pablo2012;Arg;H
Niño;Tica;CR;M
Niño;Wichopv;Mex;H
Diente;Dakes;Esp;H
Diente;Diegolacra;Esp;H
Diente;Gorgorito;Esp;H
Diente;Momislo;Esp;H
Diente;Urso170;Arg;H
Diente;Wordfor;Col;M
Espada;Bienhablado;Col;H
Espada;DonQuijote;Mex;H
Espada;Fpinto;Chile;H
Espada;Juanpirincho;Esp;H
Espada;Steve04;Col;H
Espada;AlonsoDeErcilla;Chile;H
Clase;BrujaCarter;Esp;M
Clase;Dubheed;Esp;H
Clase;JuanSebastianCristal;Arg;H
Clase;Malvarez;Esp;H
Silla;DonQuijote;Mex;H
Silla;JustMelody;Arg;M
Silla;JustNahuel;Arg;M
Silla;Mariad;Esp;M
Silla;Nymes;Esp;H
Silla;Roonblis;Mex;M
Silla;Seilaregia;Mex;H
Silla;Trajano;Esp;H
Silla;Victornalab;Ven;H
Silla;Xrstian;Col;H
Silla;Yelkoastur;Esp;H
Piedra;Bmhawk;EEUU;M
Piedra;BrujaCarter;Esp;M
Piedra;Camilorosa;Chile;H
Piedra;Cata;EEUU;M
Piedra;Javier;Esp;H
Piedra;johnTyner;EEUU;H
Piedra;Jspatt;EEUU;H
Piedra;Ksmccain21;EEUU;M
Piedra;Matthewludlum;EEUU;H
Piedra;Mlsantos;EEUU;H
Piedra;Momislo;Esp;H
Piedra;Msalas;EEUU;H
Piedra;Pablo2012;Arg;H
Piedra;Templo;Esp;H
Cristal;Alter;Ven;H
Cristal;Grughos;Esp;H
Cristal;Mayorcatorce;Esp;H
Cristal;Mnati75;Arg;M
Cristal;Yelkoastur;Esp;H
Autobus;Emivallr;Esp;H
Globo;BrujaCarter;Esp;M
Globo;Irs0003;Esp;M
Globo;Juanpirincho;Esp;H
Globo;RRR04;Peru;M
Globo;Vkal;Esp;H
Rojo;Alter;Ven;H
Rojo;Aqucorrea;Arg;H
Rojo;BrujaCarter;Esp;M
Rojo;Danibusuu;Esp;H
Rojo;Estexu;Esp;H
Rojo;JustNahuel;Arg;H
Rojo;Magdaibeth;Col;M
Tres;AlexanderArg;Arg;H
Tres;Alter;Ven;H
Tres;Cc4miloo;Col;H
Tres;Fjglez;Esp;H
Tres;Gmaranca;Arg;H
Tres;Guijaran2;Esp;H
Tres;IgnasiBCN;Esp;H
Tres;Joseeduardo1775;Chile;H
Tres;LinLinao;Chile;H
Tres;LocutoraArgentina;Arg;H
Tres;Orphneus;Arg;H
Tres;Steve04;Col;H
Tres;Volk;Arg;H
Tres;Yelkoastur;Esp;H
Tambor;Dafanafel;Col;M
Tambor;Diegolacra;Esp;H
Tambor;Fjglez;Esp;H
Tambor;Joseig;Esp;H
Tambor;Sentinel2009;Peru;H
Flecha;Alter;Ven;H
Flecha;AyCarallo;Esp;H
Flecha;Pablo2012;Esp;H
Flecha;RodneyCPHT;Cuba;H
Fruta;Alina;Arg;M
Fruta;Angeltellez13;Cuba;H
Fruta;Covarrubias;Esp;H
Fruta;IgnasiPerez;Esp;H
Fruta;JoseAngel;Esp;H
Fruta;Jerez;Esp;H
Fruta;Pablo2012;Arg;H
Mosca;Alter;Ven;H
Mosca;BrujaCarter;Esp;M
Mosca;Camilorosa;Chile;H
Mosca;Diggeridoo;Esp;H
Mosca;Febela;Arg;M
Mosca;IgnasiPerez;Esp;H
Mosca;Leooslos;Arg;H
Mosca;Mayorcatorce;Esp;H
Mosca;Miniwini;Esp;M
Mosca;Silvina;Arg;M
